,Dataset ID,latitude degrees_north,longitude degrees_east,sea_water_practical_salinity,sea_water_temperature,cdm_data_type,server
0,scalar_1203525,69.113183333,-105.0644,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1191166,69.1137,-105.06081999999999,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1192523,69.11306172609329,-105.0641604792327,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1194853,69.11311666600001,-105.06408333,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1197306,69.1129,-105.06403,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1200592,69.11289000000001,-105.06391,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1203531,69.113183333,-105.0644,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1194503,47.906236,-127.620529,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_117310,47.8306583333,-127.88686000000001,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1189466,47.762365,-127.7588166667,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_1189466,47.762365,-127.7588166667,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1190641,47.762609000000005,-127.75828999999999,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_117406,47.7626016667,-127.7588833333,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_118131,47.7626016667,-127.7588833333,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1189474,47.7626016667,-127.7588833333,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1190647,47.762657,-127.75893300000001,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1196755,47.762657,-127.75893300000001,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_118097,47.7626933333,-127.7582,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_118934,47.762679999999996,-127.7581583333,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1190640,47.762609000000005,-127.75828999999999,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1189475,47.7626016667,-127.7588833333,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1190648,47.762657,-127.75893300000001,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1196756,47.762657,-127.75893300000001,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_117311,47.6517566667,-127.7819633333,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1194260,47.764034,-128.05766200000002,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1206467,49.04002565,-123.42551274,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1196701,48.67075227,-126.84740191,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_1196701,48.67075227,-126.84740191,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_117411,48.670835,-126.84796499999999,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_118135,48.670645,-126.8480533333,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1189647,48.670645,-126.8480533333,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1192652,48.670884,-126.84716999999999,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1194530,48.670645,-126.8480533333,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1196674,48.67055092,-126.84789679999999,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1200300,48.67064,-126.847847,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_117599,48.6706483333,-126.8484933333,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_118921,48.6706083333,-126.8485483333,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1189648,48.670645,-126.8480533333,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1192653,48.670884,-126.84716999999999,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1194531,48.670645,-126.8480533333,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1196675,48.67055092,-126.84789679999999,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
